comm_date,author,author_id,likes,comment,replies,video_id
2024-08-22T14:29:31Z,@maihendrarumasondi1777,UCaGnMmhUu0E0rSzyPLOKP9Q,0,pusing kan kalau PDIP di oposisi,0,rONUSWIPhbA
2024-08-22T14:14:38Z,@herusumarli5297,UCFfPmW9iS9zoJdw6zMwz6wg,2,"Quote of the day :""Ini bukan negara milik keluarga tertentu.""",0,rONUSWIPhbA
2024-08-22T14:14:04Z,@muhamadherupurnomo8811,UCNPA_rHVfd0ELLf_8yxFlpg,0,"Gobloknya gak ketulungan, karena ambisi kekuasaan.",0,rONUSWIPhbA
2024-08-22T14:11:52Z,@BasukiDwiPutranto,UC5c8uP8l1m6OSL8rLuJuiow,1,DARURAT POLITIK.. PARA ELIT TERSANDERA ...,0,rONUSWIPhbA
2024-08-22T14:05:35Z,@edwards1180,UC01x6XG7ThB_fxhJiJRDFGA,0,"ya elah tong.lo orang bukan belajarnya bener malah demo2 ngk jelas...ekonomi lg susah jgn lg kalian buat tambah susah...coba donk kalian Demo tuh yg berguna.kalian bilang utk rakyat???,kalian aja ngk ada teriak2 buat sahkan hukuman mati buat koruptor ke DPR..Coba donk kalian desak anggota DPR utk sahkan hukuman mati utk para koruptor..pakai otak lah",0,rONUSWIPhbA
2024-08-22T13:55:35Z,@etexxkairaphasya783,UC8-6-yiY3Kyvt6dmR-uJ4Ig,1,Jadi teringat demo 98.. rakyat turun untuk nkri... merdeka,0,rONUSWIPhbA
2024-08-22T13:22:27Z,@ERVINS7180,UC7hyVxPPf_0KAk1EzY640pg,0,Semua dirusak ulah Raja jawa ceking yang tersandera CUKONG ❗,0,rONUSWIPhbA
2024-08-22T13:20:52Z,@DaurUlang-p6s,UCFAb4MlbxwEk5JHB7NWssCg,3,Lanjutkan perjuangan mu mahasiswa,0,rONUSWIPhbA
2024-08-22T13:18:24Z,@cancunkamajaya3396,UCLO7EitoS1Ln2AMdxp6PZLQ,3,rakyat seluruh Indonesia muak melihat ini,0,rONUSWIPhbA
2024-08-22T13:06:12Z,@pongpongkeng3027,UCTsKhtWRNo9FrRi1QSBIQ9g,0,"Mau ja di tunggain sm yg punya kepentingan di atas, mendingan tdr nyenyak, lgian dpt pa jg demo kaya gtu,","{'comments': [{'kind': 'youtube#comment', 'etag': 'SlZ5wZUAG_G18LGGt-gmP5DmvKU', 'id': 'UgzulKbs63SwooAqRZt4AaABAg.A7RnKwAZCR6A7RrlFcpAzE', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'kalau yg ini kepentingan negara .. para intelektual mmg harus turun ... jujur saya agak mendukung', 'textOriginal': 'kalau yg ini kepentingan negara .. para intelektual mmg harus turun ... jujur saya agak mendukung', 'parentId': 'UgzulKbs63SwooAqRZt4AaABAg', 'authorDisplayName': '@user-yo1gc7jj1f', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_l9jaN2DSCtxDxrwsf0C9s7kZypukJ6RDO4hmBP0i96PKF4kMCghS8kcBN7rq3a0W9btg=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@user-yo1gc7jj1f', 'authorChannelId': {'value': 'UCK_YyuV8g1ELwpF5siqBfLQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-08-22T13:44:53Z', 'updatedAt': '2024-08-22T13:44:53Z'}}]}",rONUSWIPhbA
2024-08-22T13:05:21Z,@TholutAbdullah,UCpI-N4W7knb4swOdYaUq-XA,3,"DPR tempatnya para koruptor mereka sudah tidak bisa melawan lagi salah atau benar, kartu as mereka sudah ditangan mukidi,,,mukidi memang luar biasa membungkam elit politik.",0,rONUSWIPhbA
2024-08-22T13:05:16Z,@zepriyandi6424,UCRg9IbotRk_ZGapff61pxKg,0,"Percuma kalian pada demo jarak dari pagar ke gedung aja kalian pada teriak pake toa GK bakalan tembus tuh suara.
Cari cara dulu biar suara tuh tembus sampe kuping yang di dalam keluar conge",0,rONUSWIPhbA
2024-08-22T13:03:09Z,@sintaxerror423,UCdwWQv-luJpCbGyfKYXPkMA,6,KERENNNNNNN... mahasiswa.. kalian mangtapp... ini bukan tentang partai.. ini tentang REFORMASI.. tidak boleh ada satupun  yang berhak injak injak Tuntutan REFORMASI.. Hormatilah Konstitusii..... KAWALL!!!,"{'comments': [{'kind': 'youtube#comment', 'etag': 'kY5cAwuzRsQDvhfBkuYeXl_PrrU', 'id': 'UgwN19hmDFa29skTPc54AaABAg.A7Rmz_rxyRSA7hwCN5MPf0', 'snippet': {'channelId': 'UC5BMIWZe9isJXLZZWPWvBlg', 'videoId': 'rONUSWIPhbA', 'textDisplay': 'Dulu Reformasi dijaman soeharto dimana Soeharto hampir menuju Indonesia hebat dan modern,, setelah Reformasi seolah-olah Indonesia jadi bayi lagi,, sekarang mau Reformasi dimana Indonesia juga sudah mulai Naik daun,, nanti turun lagi dan mulai lagi dari nol,, sedangkan negara-negara lain berlomba untuk makmur.... Tapi ini kah INDON ESIA', 'textOriginal': 'Dulu Reformasi dijaman soeharto dimana Soeharto hampir menuju Indonesia hebat dan modern,, setelah Reformasi seolah-olah Indonesia jadi bayi lagi,, sekarang mau Reformasi dimana Indonesia juga sudah mulai Naik daun,, nanti turun lagi dan mulai lagi dari nol,, sedangkan negara-negara lain berlomba untuk makmur.... Tapi ini kah INDON ESIA', 'parentId': 'UgwN19hmDFa29skTPc54AaABAg', 'authorDisplayName': '@DansReddlesCorp', 'authorProfileImageUrl': 'https://yt3.ggpht.com/piwfr5MjtG8NeT1YlIynPB1xBuLn1ZxV-5WYolp_IZIHJGW7LmGmAOAH8HkNYUGp98FK5NpTGR0=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@DansReddlesCorp', 'authorChannelId': {'value': 'UCHaQYPcOclOgXm6RCIs2W6Q'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-08-29T04:50:46Z', 'updatedAt': '2024-08-29T04:50:46Z'}}]}",rONUSWIPhbA
2024-08-22T13:02:37Z,@GanefoUsman,UCly_XLueYPGab7Tmlvve-hA,1,Sebenarnya mereka yg menolak putusan MK itu selalu ingin Indonesianya tidak aman kita perlu mempertanyakan nasionalisme mereka yg menolak ketetapan MK,0,rONUSWIPhbA
